angle_index,interface_angle_rad,interface_angle_pi,support_class,support_reason,nominal_incident_channel_count,nominal_matched_reflected_channel_count,nominal_matched_fraction,nominal_same_band_fraction,nominal_mismatch_mean,nominal_mismatch_p95,nominal_mismatch_max,tight_matched_fraction,loose_matched_fraction,matched_fraction_tolerance_span,mismatch_p95_tolerance_span,neighbor_mse_conductance_step,neighbor_max_abs_conductance_step,num_transport_channels,filtered_channel_fraction,mean_mismatch_penalty,zero_bias_conductance,dynamic_range
0,0.0,0.0,robust,meets all robust thresholds,131,131,1.0,1.0,2.8549058219621674e-16,8.881784197001252e-16,2.6757962010404674e-15,1.0,1.0,0.0,0.0,0.012196310459485608,0.21297941665973474,131,0.0,1.0,0.9111986269152353,0.24765999393540972
1,0.04908738521234052,0.015625,caution,computable but fails at least one robust threshold,128,70,0.546875,1.0,0.040943720895183874,0.13460451712904145,0.13783963636946764,0.375,0.828125,0.453125,0.22018648019694828,0.012196310459485608,0.21297941665973474,70,0.0,0.7807364876255976,1.0061254556876171,0.3911063776955085
2,0.09817477042468103,0.03125,caution,computable but fails at least one robust threshold,126,52,0.4126984126984127,1.0,0.047850165311963254,0.11777516038600779,0.1359746561320882,0.25396825396825395,0.5714285714285714,0.31746031746031744,0.225523912263627,0.0006335297642928929,0.07068029587408664,52,0.0,0.7271167245856092,1.0046960037787984,0.40024801073782457
3,0.14726215563702155,0.046875,unstable,fails at least one caution threshold,124,39,0.31451612903225806,1.0,0.053277416646956954,0.10851244029040338,0.14212398386631878,0.18867924528301888,0.49193548387096775,0.30325623858794887,0.21828600652872165,0.011184758274658209,0.23411240937908695,39,0.0,0.7535899938996012,0.987835927265965,0.4102110578985533
4,0.19634954084936207,0.0625,unstable,fails at least one caution threshold,91,29,0.31868131868131866,1.0,0.0634097611081693,0.11095179905979302,0.11795815750769859,0.22033898305084745,0.4098360655737705,0.18949708252292305,0.18155235243533513,0.012569102458397425,0.24349699137208747,29,0.0,0.7398709191806945,1.0613172166813798,0.6204373590608772
5,0.2454369260617026,0.078125,unstable,fails at least one caution threshold,90,31,0.34444444444444444,1.0,0.07022085170863891,0.12048978470446894,0.14119761734690883,0.13333333333333333,0.5444444444444444,0.4111111111111111,0.14893865349557037,0.012569102458397425,0.24349699137208747,31,0.0,0.6989856037686772,0.9719108353676705,0.4138165137527863
6,0.2945243112740431,0.09375,unstable,fails at least one caution threshold,90,31,0.34444444444444444,1.0,0.0722030904326138,0.14019073328626183,0.14981391775309347,0.13333333333333333,0.5,0.3666666666666667,0.16624011757356572,0.004271526329901069,0.14180377571926228,31,0.0,0.7190213955279798,0.9920436979616637,0.4510010911296517
7,0.3436116964863836,0.109375,caution,computable but fails at least one robust threshold,69,26,0.37681159420289856,1.0,0.08553033104856067,0.14218310784438765,0.14709773679985058,0.10144927536231885,0.5,0.39855072463768115,0.2246714216349635,0.004271526329901069,0.14180377571926228,26,0.0,0.6479283651647132,1.0316413729602576,0.5818592532557908
8,0.39269908169872414,0.125,caution,computable but fails at least one robust threshold,69,28,0.4057971014492754,1.0,0.08857844090960378,0.14699041819037229,0.14728886205483965,0.10144927536231885,0.6231884057971014,0.5217391304347826,0.17854974728680098,0.0008547162399683235,0.06013395243757369,28,0.0,0.5973898675249427,1.0115026400604847,0.5301815019489169
9,0.44178646691106466,0.140625,caution,computable but fails at least one robust threshold,69,28,0.4057971014492754,1.0,0.09035632172937273,0.14728017996250387,0.1491221157260073,0.11594202898550725,0.6086956521739131,0.4927536231884058,0.1722541192698063,0.002187359288615655,0.09164034903028906,28,0.0,0.599865897756876,0.9950880619418084,0.485458139218654
10,0.4908738521234052,0.15625,caution,computable but fails at least one robust threshold,69,28,0.4057971014492754,1.0,0.07858442202347075,0.1440945262125348,0.14723624646094774,0.15942028985507245,0.6231884057971014,0.463768115942029,0.15731630106994238,0.01666688422621839,0.2504918680267363,28,0.0,0.6933281281877322,1.0283117274861049,0.5621464856419355
11,0.5399612373357456,0.17187499999999997,unstable,fails at least one caution threshold,105,32,0.3047619047619048,1.0,0.07273836326699676,0.13579933433611313,0.1371748670071179,0.14942528735632185,0.4857142857142857,0.3362889983579639,0.2075537647627288,0.016687409249159395,0.2555406510916338,32,0.0,0.8101331539873222,0.9251497240112662,0.3686243407302573
