sample_id,default_retained_ratio_total,ar_aware_retained_ratio_total,retained_ratio_delta,default_residual_norm_total,ar_aware_residual_norm_total,residual_norm_reduction,channel_delta_norm,channel_relative_delta_norm
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::120_0,0.9932201274012835,0.9932201524223376,2.5021054117502217e-08,1.0605353349612727,1.0605314210658996,3.913895373131027e-06,0.0004195318818573121,3.7932090286870916e-06
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::118_0,0.993146556231077,0.9931465809833695,2.4752292548946286e-08,1.0750638439068225,1.0750599611442828,3.882762539708651e-06,0.00042071472256987317,3.7932194387784397e-06
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::117_0,0.9931454409743807,0.9931454657229263,2.4748545546238176e-08,1.07631737994801,1.0763134938789618,3.886069048109064e-06,0.00042113431647093093,3.7931973195600405e-06
pams_fig1_alpha0.671965_J0.09_0.18_0_0_0_0_complex_Nm220_-0.501831_0.6_192::0,0.9999741335559994,0.9999690559504832,-5.077605516157213e-06,0.017778178990749703,0.021268051031443667,-0.0034898720406939636,0.001897554299824178,5.444938302761331e-06
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::0_0,0.9947175024984638,0.9947174751653289,-2.7333134866580622e-08,3.6297635137155484,3.6297822951377086,-1.878142216016343e-05,0.0018970680196107605,5.446336283662519e-06
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::1_0,0.9945944999390548,0.9945944733393909,-2.6599663915938265e-08,3.624604671398344,3.6246225075402734,-1.7836141929183924e-05,0.001851164024764199,5.441108534868039e-06
