sample_id,delta_zz_s,delta_zz_d,delta_xx_s,delta_xx_d,delta_zx_s,delta_zx_d,delta_perp_z,delta_perp_x,gauge_anchor_channel,gauge_phase_radians,round1_retained_ratio_total,round2_retained_ratio_total,retained_ratio_improvement,round1_residual_norm_total,round2_residual_norm_total,residual_norm_reduction
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::54_89,(0.002345013691099136+0j),(-0.06414091836420718-0.01773277945202954j),(4.073548341480453e-05-0.0019838750277604744j),(-0.13473839871249774-0.03733521886282808j),(-0.02614450036845223-0.0071028277734747226j),(0.0017511997500272293+0.0002520318171292411j),(-0.00994316035546416-0.007168542829266063j),(-0.0023194007316093062-0.0027377916576508715j),delta_zz_s,2.904726676415612,0.30332907257387476,0.4251979044236741,0.12186883184979935,0.27214802013214484,0.22454109411002068,0.04760692602212416
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::48_92,(0.0008789012681758236+0j),(-0.0006334211234611442+0.09011006869136498j),(0.039417374680855745+0.0004956347412084363j),(-0.0010766303886232892+0.16247623280014287j),0j,(-0.001570648341833933-3.314910024144751e-05j),(0.016223504728530756+0.0003669840528530314j),(0.040785609782316185+0.0005433435396017071j),delta_zz_s,-1.6181979692547803,0.28990533009289376,0.4116877254693284,0.12178239537643465,0.33803736042188814,0.2800634011408107,0.05797395928107746
pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::53_4,(3.646795354229649+8.326568603231639e-17j),(-8.06553845765804e-07-0.29452364810213294j),(-1.1828562067537245-3.76366002277101e-09j),(-2.97020489745096e-06-0.9256050994214928j),0j,(-9.386342440296941+2.3046022673878046e-08j),(-68.22739493701656+6.453980047273971e-09j),(-13.779294308790933+2.699983944237526e-08j),delta_zz_s,3.03854433848217,0.5333432313527072,0.6433579653662902,0.11001473401358297,51.082284111474635,39.03959175833381,12.042692353140822
pams_fig1_alpha0.671965_J0.09_0.18_0_0_0_0_complex_Nm220_-0.501831_0.6_192::0,(5.014344980203737e-05+6.453211576367443e-21j),(-3.2313389046402826e-17-7.279656609942721e-19j),(-0.6891287614038294-0.447937255346656j),(-338.19507075207514-18.8452154462046j),0j,(-2.0413469036096495e-16-3.356433468406724e-18j),(-81.9735868316911+4.2757278492313945e-12j),(2.5609288959365263e-16-8.842851200542216e-17j),delta_zz_s,3.0410785606889053,0.999999802707986,0.9999741335559994,-2.566915198665143e-05,0.0001356001133293563,0.017778178990749703,-0.017642578877420347
pams_fig1_alpha0.671965_J0.09_0.18_0_0_0_0_complex_Nm220_-0.501831_0.6_192::1,(0.37175191258891416+4.857165018551789e-17j),(-0.11397002496828852+0.006507585963292552j),(-0.04026934549225546+0.004061915986738904j),(-331.8951670433816+18.546141752116167j),0j,(0.001594922090115166-2.542485904436443e-05j),(-60.18185540579197+3.598422013745996e-05j),(0.002371334422244904-0.0007439367357726486j),delta_zz_s,-3.0410506839175313,0.9808938696973177,0.9808968903988305,3.020701512812529e-06,12.808584331034698,12.806559278894179,0.002025052140519179
pams_fig1_alpha0.671965_J0.09_0.18_0_0_0_0_complex_Nm220_-0.501831_0.6_192::2,(0.8892226584168142-1.7173547744165258e-16j),(-0.4429819347732294+0.025428315727487563j),(-0.023534190130289123+0.0040178805512184855j),(-325.73757661433683+18.112354689611294j),0j,(0.009908774267609315-0.00023652470900651778j),(-71.63172683087872+6.509513454199552e-05j),(0.010380850384675405-0.0034423750087516193j),delta_zz_s,-3.0411080508701076,0.9661226859414499,0.9661493506903143,2.666474886436898e-05,22.382644369431123,22.365027046227723,0.017617323203399593
