category,sample_id,retained_ratio_total,residual_norm_total,omitted_fraction_total,dominant_block,dominant_hotspot_block,dominant_hotspot_entry,dominant_hotspot_group,delta_x_residual_norm,delta_y_residual_norm,delta_z_residual_norm,supported_residual_fraction,unsupported_residual_fraction
best,pams_fig1_alpha0.671965_J0.09_0.18_0_0_0_0_complex_Nm220_-0.501831_0.6_192::0,0.9999742899580328,0.01767068283299282,2.5710041967203746e-05,delta_x,delta_x,"(1, 1)",xx,0.012000766976638207,0.011950351497091822,0.0050421942497896905,0.9999411138119945,5.888618800550293e-05
median,pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::105_35,0.3663039873777887,113.78527216643707,0.6336960126222113,delta_x,delta_z,"(0, 0)",other,68.61852127668635,68.61852127667807,59.4145204271917,4.869422150509888e-09,0.9999999951305777
worst,pams_J0.09_0.18_0_0_0_0_complex_Nm220_-0.3372_0.3_-0.1646_0.3_121_93::107_88,0.2631062300399669,0.8213231668970601,0.7368937699600331,delta_y,delta_z,"(2, 2)",other,0.4673649736093914,0.49033911361191357,0.4644451308682133,9.903393042123101e-09,0.999999990096607
