angle_label,interface_angle_rad,interface_angle_pi,tier,tier_reason,incident_channel_count,matched_reflected_channel_count,unmatched_incident_channel_count,matched_fraction_of_incident,same_band_match_fraction,reflection_mismatch_mean,reflection_mismatch_median,reflection_mismatch_p95,reflection_mismatch_max,num_transport_input_channels,num_transport_channels,num_filtered_channels,filtered_channel_fraction,mean_normal_transparency,mean_mismatch_penalty,zero_bias_conductance,max_conductance,dynamic_range
inplane_100_x_axis,0.0,0.0,A,Reliable current raw-angle in-plane high-symmetry path; not yet a named public direction mode.,131,131,0,1.0,1.0,2.8549058219621674e-16,9.437916079723832e-17,8.881784197001252e-16,2.6757962010404674e-15,131,131,0,0.0,0.8000000000000002,1.0,0.9111986269152353,1.158858620850645,0.24765999393540972
inplane_generic_pi_over_8,0.39269908169872414,0.125,B,Computable continuous in-plane angle; generic-angle robustness is deferred to Task N.,69,28,41,0.4057971014492754,1.0,0.08857844090960378,0.09164095764131674,0.14699041819037229,0.14728886205483965,28,28,0,0.0,0.8,0.5973898675249427,1.0115026400604847,1.5069120820199224,0.5301815019489169
inplane_110_diagonal,0.7853981633974483,0.25,A,Reliable current raw-angle in-plane high-symmetry path; not yet a named public direction mode.,133,133,0,1.0,1.0,4.656045055556226e-16,4.028295357552336e-16,1.059049762550978e-15,2.6645352591003757e-15,133,133,0,0.0,0.8000000000000002,1.0,0.8895262203014861,1.1308074237734924,0.24128120347200632
inplane_generic_3pi_over_8,1.1780972450961724,0.375,B,Computable continuous in-plane angle; generic-angle robustness is deferred to Task N.,69,28,41,0.4057971014492754,1.0,0.08857844090960376,0.09164095764131677,0.14699041819037242,0.14728886205483965,28,28,0,0.0,0.8,0.5973898675249434,1.011502641802628,1.5069120857532565,0.5301815048317214
inplane_100_y_axis_equivalent,1.5707963267948966,0.5,A,Reliable current raw-angle in-plane high-symmetry path; not yet a named public direction mode.,131,131,0,1.0,1.0,3.353899736813359e-16,2.314214743312636e-16,1.0780955469613357e-15,2.672220571188255e-15,131,131,0,0.0,0.8000000000000002,1.0,0.9111986209456372,1.1588586124519842,0.247659991506347
